165.00,93.00,216.00,147.00,0.00
164.72,93.66,215.60,147.53,0.00
162.60,96.83,213.28,150.50,0.00
159.19,100.47,209.17,153.38,0.00
156.57,100.86,206.03,153.24,0.00
153.57,102.97,205.57,156.62,0.00
151.12,96.63,202.60,150.02,0.00
150.95,91.16,202.21,144.44,0.00
148.01,87.70,199.74,141.21,0.00
148.94,88.70,198.71,141.24,0.00
146.11,88.95,196.44,141.76,0.00
140.94,86.80,190.52,139.23,0.00
133.45,91.72,182.46,143.87,0.00
129.20,93.73,178.54,146.05,0.00
124.03,91.58,172.62,143.52,0.00
125.00,91.59,173.24,143.35,0.00
125.96,90.83,175.36,143.18,0.00
126.89,91.84,174.34,143.21,0.00
130.14,91.78,176.38,142.55,0.00
133.87,89.32,182.46,141.27,0.00
133.60,95.96,184.74,149.17,0.00
131.35,96.18,184.30,150.30,0.00
131.76,99.18,183.89,152.90,0.00
133.23,97.01,184.20,150.15,0.00
135.16,102.13,184.94,154.67,0.00
136.44,102.68,185.17,154.70,0.00
134.48,97.77,183.75,150.06,0.00
137.62,94.41,186.29,146.39,0.00
140.23,88.78,188.06,140.34,0.00
146.55,86.23,195.66,138.44,0.00
151.42,82.61,201.34,135.22,0.00
153.10,79.78,204.09,132.92,0.00
156.82,77.32,210.18,131.64,0.00
160.82,79.25,212.89,132.94,0.00
163.67,80.59,217.79,135.29,0.00
163.98,82.67,217.94,137.30,0.00
163.55,83.61,215.34,137.15,0.00
161.76,82.84,214.82,137.02,0.00
161.48,80.00,211.63,132.73,0.00
159.06,80.84,205.76,131.84,0.00
155.11,76.41,201.75,127.38,0.00
149.98,80.89,198.53,132.82,0.00
144.16,81.80,192.56,133.65,0.00
137.69,89.22,188.13,142.09,0.00
133.43,91.22,184.21,144.26,0.00
130.31,88.77,181.36,141.95,0.00
126.22,89.35,178.76,143.27,0.00
123.61,89.88,176.45,143.95,0.00
121.82,89.12,175.93,143.82,0.00
123.09,89.67,176.17,143.86,0.00
121.41,78.90,175.89,133.80,0.00
123.08,76.07,178.64,131.50,0.00
128.05,74.34,183.37,129.65,0.00
131.07,78.07,185.76,133.06,0.00
131.32,82.19,185.97,137.16,0.00
136.35,87.02,189.12,141.06,0.00
139.05,92.97,192.49,147.34,0.00
141.61,94.61,196.06,149.48,0.00
144.18,96.26,199.62,151.63,0.00
146.79,94.70,202.71,150.32,0.00
149.39,89.07,204.48,144.26,0.00
154.50,83.38,211.02,139.29,0.00
157.65,80.02,213.55,135.62,0.00
156.88,74.21,215.49,131.16,0.00
157.83,73.45,217.61,130.99,0.00
158.76,79.70,217.81,136.87,0.00
155.41,84.09,214.90,141.49,0.00
152.82,86.98,211.30,143.87,0.00
150.40,88.60,209.49,145.80,0.00
151.32,89.61,208.47,145.83,0.00
149.32,88.08,207.13,144.64,0.00
148.62,86.35,206.02,142.71,0.00
149.17,82.09,208.05,139.18,0.00
150.76,83.34,208.20,139.71,0.00
151.16,86.34,207.79,142.31,0.00
147.30,90.71,204.75,147.09,0.00
146.48,92.16,202.26,147.70,0.00
144.23,92.38,201.82,148.83,0.00
145.15,93.39,200.80,148.86,0.00
142.90,93.61,200.36,149.99,0.00
141.11,93.14,197.71,149.09,0.00
136.35,90.23,192.47,145.94,0.00
133.23,87.78,189.62,143.63,0.00
134.16,84.70,188.77,139.66,0.00
132.36,83.93,188.26,139.53,0.00
132.61,88.05,188.47,143.63,0.00
130.72,93.55,186.35,149.02,0.00
131.12,96.56,185.94,151.62,0.00
133.79,101.55,187.94,156.28,0.00
136.08,104.66,189.94,159.24,0.00
139.33,104.60,191.98,158.57,0.00
139.16,98.82,192.71,153.25,0.00
143.23,88.07,197.63,142.92,0.00
148.30,80.91,202.87,135.84,0.00
152.77,78.89,208.51,134.41,0.00
156.50,76.43,214.60,133.13,0.00
158.71,79.16,216.79,135.85,0.00
159.11,82.16,216.38,138.45,0.00
159.65,83.12,216.54,139.22,0.00
162.21,84.77,220.11,141.37,0.00
163.80,86.02,220.26,141.90,0.00
161.92,81.88,219.65,138.40,0.00
162.88,81.13,221.78,138.23,0.00
161.09,80.36,221.26,138.10,0.00
160.27,81.82,218.77,138.72,0.00
159.92,78.79,217.68,135.32,0.00
159.10,80.24,215.18,135.94,0.00
156.73,86.63,210.93,141.38,0.00
152.48,88.63,207.01,143.55,0.00
150.06,89.47,201.15,142.66,0.00
147.47,92.35,197.55,145.04,0.00
140.79,95.63,194.04,149.91,0.00
137.40,93.15,191.00,147.59,0.00
137.94,87.45,190.63,141.44,0.00
139.72,86.16,192.70,140.30,0.00
140.68,85.41,194.82,140.13,0.00
138.89,84.64,194.30,140.00,0.00
140.67,86.00,196.52,141.58,0.00
138.88,85.54,193.87,140.68,0.00
139.19,87.62,194.02,142.69,0.00
141.48,90.73,196.01,145.65,0.00
141.79,92.82,196.16,147.66,0.00
144.87,90.65,200.02,145.87,0.00
147.14,90.58,201.75,145.53,0.00
148.82,87.74,204.49,143.23,0.00
151.89,85.57,208.35,141.45,0.00
155.62,83.12,214.44,140.17,0.00
159.34,80.66,220.52,138.90,0.00
164.31,78.92,225.25,137.04,0.00
166.87,80.57,228.82,139.19,0.00
168.65,81.93,231.03,140.77,0.00
168.96,84.01,231.18,142.77,0.00
169.50,84.97,231.34,143.55,0.00
170.97,82.80,231.65,140.79,0.00
168.15,83.05,229.37,141.31,0.00
167.86,80.21,226.18,137.02,0.00
169.07,77.59,228.92,135.16,0.00
168.31,71.77,230.86,130.70,0.00
169.28,71.78,231.48,130.53,0.00
167.28,70.25,230.14,129.34,0.00
164.16,67.80,227.29,127.02,0.00
159.90,69.81,223.37,129.19,0.00
159.09,71.26,220.88,129.81,0.00
155.13,73.46,218.94,133.02,0.00
